300151e1-1bbc-485f-8263-66dd6c0dc96d,description,css,.page-product__detail,2022-10-23 10:57:31.636111+09,2022-10-23 12:25:59.226448+09,a263160f-ad6e-4d67-824f-c58169f41513
3fa9fc04-87f8-432e-9101-73c46c704875,image,xpath,/html/body/div[1]/div/div[2]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div[1],2022-10-23 12:28:21.333002+09,2022-10-23 12:28:21.333046+09,a263160f-ad6e-4d67-824f-c58169f41513
fd07f1a3-b300-4dec-89b0-5a817943daa6,image,xpath,/html/body/div[1]/div/div[2]/div[1]/div/div[1]/div[2]/div[2]/div[2]/div[1],2022-10-23 10:56:04.67335+09,2022-10-23 12:29:44.100971+09,a263160f-ad6e-4d67-824f-c58169f41513
fa51ec3c-1bcc-46d4-b31b-38a32f4ea321,name,xpath,/html/body/div[2]/div[2]/div/div/div/h1/span/text(),2022-10-01 14:49:04.115659+09,2022-10-01 15:18:59.359427+09,f8439a9e-cbe5-48c1-8cd7-38c175437177
03772ccc-e905-4d71-add9-db890127edee,code,xpath,/html/body/div[2]/div[3]/div/div/div/div[2]/div[1]/div[1]/div[2]/span[1]/span,2022-10-01 14:49:04.119191+09,2022-10-02 01:18:20.178051+09,f8439a9e-cbe5-48c1-8cd7-38c175437177
5b0442b3-49de-4fd8-9a42-c817623af2f5,location,xpath,/html/body/div[1]/div/div[2]/div[1]/div/div/div/div[2]/div[3]/div/div[4]/div/div[2]/div/div[3]/div[2]/div[1]/div[2]/div[2]/div[2]/div/span/text(),2022-10-23 12:29:44.102841+09,2022-10-23 12:29:44.102876+09,a263160f-ad6e-4d67-824f-c58169f41513
e1dc963a-6c5b-43a6-a91f-230f74b36ddc,price,xpath,/html/body/div[2]/div[3]/div/div/div/div[2]/div[1]/div[1]/div[2]/p[1]/span/bdi,2022-10-01 14:49:04.118482+09,2022-10-02 01:18:20.180228+09,f8439a9e-cbe5-48c1-8cd7-38c175437177
41040ca4-69ad-4278-9c3c-81eedf21e388,description,css,.short-description,2022-10-01 14:49:04.119838+09,2022-10-02 11:34:57.979938+09,f8439a9e-cbe5-48c1-8cd7-38c175437177
4efda701-59c3-4fd3-b5d4-d067821f5f1f,list_price,xpath,/html/body/div[2]/div[3]/div/div/div/div[2]/div[1]/div[1]/div[2]/p[1]/span/bdi,2022-10-02 11:34:57.980887+09,2022-10-02 11:34:57.980896+09,f8439a9e-cbe5-48c1-8cd7-38c175437177
734550dd-2ac7-4b55-9305-eb58e7a4bdb9,image,css,.main-image,2022-10-02 12:01:00.172256+09,2022-10-02 12:02:09.003267+09,f8439a9e-cbe5-48c1-8cd7-38c175437177
d21ae047-e347-4685-b5db-f2194dd78157,name,xpath,/html/body/div[1]/div/div[2]/div[1]/div/div/div/div[2]/div[3]/div/div[1]/span/text(),2022-10-20 20:38:42.046263+09,2022-10-22 23:20:38.149884+09,a263160f-ad6e-4d67-824f-c58169f41513
261e4f26-0ba7-4d58-81b9-6b2da7a1c412,sold,xpath,/html/body/div[1]/div/div[2]/div[1]/div/div/div/div[2]/div[3]/div/div[2]/div[3]/div[1]/text(),2022-10-23 10:56:04.675078+09,2022-10-23 12:18:50.000749+09,a263160f-ad6e-4d67-824f-c58169f41513
631d265b-d56d-4ab2-b79f-19502e1a51bd,stock,xpath,/html/body/div[1]/div/div[2]/div[1]/div/div/div/div[2]/div[3]/div/div[4]/div/div[3]/div/div[2]/div[2]/div[2]/text(),2022-10-23 10:57:31.634987+09,2022-10-23 12:18:50.005239+09,a263160f-ad6e-4d67-824f-c58169f41513
bd5a038f-70db-42b3-a611-b0194223dae8,review,xpath,/html/body/div[1]/div/div[2]/div[1]/div/div/div/div[2]/div[3]/div/div[2]/div[2]/div[1]/text(),2022-10-23 10:56:04.674644+09,2022-10-23 12:18:50.006436+09,a263160f-ad6e-4d67-824f-c58169f41513
f1f3785d-2e49-481a-a7a3-8ef7e59b4dcc,category,xpath,/html/body/div[1]/div/div[2]/div[1]/div/div/div/div[3]/div[2]/div[1]/div[1]/div[1]/div[2]/div[1]/text(),2022-10-23 10:56:04.673012+09,2022-10-23 12:18:50.008339+09,a263160f-ad6e-4d67-824f-c58169f41513
2665daef-9503-4c88-b7f0-aa2ce90aeb23,price,xpath,/html/body/div[1]/div/div[2]/div[1]/div/div/div/div[2]/div[3]/div/div[3]/div/div/div[1]/div/div[2]/div[1]/text(),2022-10-23 10:56:04.672556+09,2022-10-23 12:22:01.557433+09,a263160f-ad6e-4d67-824f-c58169f41513
cf9ff64d-b3cf-4039-8d6c-09cdc1de2e2f,list_price,xpath,//html/body/div[1]/div/div[2]/div[1]/div/div/div/div[2]/div[3]/div/div[3]/div/div/div[1]/div/div[1]/text(),2022-10-23 10:56:04.670524+09,2022-10-23 12:22:01.558658+09,a263160f-ad6e-4d67-824f-c58169f41513
